Device: cpu

=== Lambda=0.1 ===
[Lambda=0.1] Epoch 1/40  Val KT: 0.4706
[Lambda=0.1] Epoch 2/40  Val KT: 0.4271
[Lambda=0.1] Epoch 3/40  Val KT: 0.3898
[Lambda=0.1] Epoch 4/40  Val KT: 0.3711
[Lambda=0.1] Epoch 5/40  Val KT: 0.3651
[Lambda=0.1] Epoch 6/40  Val KT: 0.3617
[Lambda=0.1] Epoch 7/40  Val KT: 0.3547
[Lambda=0.1] Epoch 8/40  Val KT: 0.3533
[Lambda=0.1] Epoch 9/40  Val KT: 0.3527
[Lambda=0.1] Epoch 10/40  Val KT: 0.3527
[Lambda=0.1] Epoch 11/40  Val KT: 0.3492
[Lambda=0.1] Epoch 12/40  Val KT: 0.3480
[Lambda=0.1] Epoch 13/40  Val KT: 0.3480
[Lambda=0.1] Epoch 14/40  Val KT: 0.3485
[Lambda=0.1] Epoch 15/40  Val KT: 0.3467
[Lambda=0.1] Epoch 16/40  Val KT: 0.3458
[Lambda=0.1] Epoch 17/40  Val KT: 0.3464
[Lambda=0.1] Epoch 18/40  Val KT: 0.3455
[Lambda=0.1] Epoch 19/40  Val KT: 0.3446
[Lambda=0.1] Epoch 20/40  Val KT: 0.3459
[Lambda=0.1] Epoch 21/40  Val KT: 0.3452
[Lambda=0.1] Epoch 22/40  Val KT: 0.3432
[Lambda=0.1] Epoch 23/40  Val KT: 0.3429
[Lambda=0.1] Epoch 24/40  Val KT: 0.3429
[Lambda=0.1] Epoch 25/40  Val KT: 0.3433
[Lambda=0.1] Epoch 26/40  Val KT: 0.3426
[Lambda=0.1] Epoch 27/40  Val KT: 0.3419
[Lambda=0.1] Epoch 28/40  Val KT: 0.3420
[Lambda=0.1] Epoch 29/40  Val KT: 0.3410
[Lambda=0.1] Epoch 30/40  Val KT: 0.3408
[Lambda=0.1] Epoch 31/40  Val KT: 0.3407
[Lambda=0.1] Epoch 32/40  Val KT: 0.3417
[Lambda=0.1] Epoch 33/40  Val KT: 0.3403
[Lambda=0.1] Epoch 34/40  Val KT: 0.3410
[Lambda=0.1] Epoch 35/40  Val KT: 0.3407
[Lambda=0.1] Epoch 36/40  Val KT: 0.3405
  Early stopping after 36 epochs.
Lambda=0.1 metrics: {'auc': 0.916921348071289, 'rmse': 0.3166636238256766, 'cal_mse': 0.016052632447522888, 'ece': 0.012481886977202787}

=== Lambda=0.3 ===
[Lambda=0.3] Epoch 1/40  Val KT: 0.4587
[Lambda=0.3] Epoch 2/40  Val KT: 0.4233
[Lambda=0.3] Epoch 3/40  Val KT: 0.3858
[Lambda=0.3] Epoch 4/40  Val KT: 0.3701
[Lambda=0.3] Epoch 5/40  Val KT: 0.3626
[Lambda=0.3] Epoch 6/40  Val KT: 0.3658
[Lambda=0.3] Epoch 7/40  Val KT: 0.3567
[Lambda=0.3] Epoch 8/40  Val KT: 0.3525
[Lambda=0.3] Epoch 9/40  Val KT: 0.3500
